#{"t_start": 1622654718.476987, "env_id": "CartPole-v1"}
r,l,t
179.0,179,24.550709
333.0,333,27.543369
80.0,80,27.607395
217.0,217,27.83656
129.0,129,27.942829
245.0,245,28.292442
193.0,193,28.487597
206.0,206,28.694798
284.0,284,29.016899
160.0,160,29.145062
15.0,15,29.161369
126.0,126,29.271828
105.0,105,29.375103
317.0,317,32.06807
285.0,285,32.355623
258.0,258,32.599748
500.0,500,33.093594
222.0,222,33.364368
348.0,348,33.689763
500.0,500,36.426595
143.0,143,36.59637
500.0,500,37.147808
253.0,253,37.352588
500.0,500,37.899683
299.0,299,38.252355
351.0,351,41.704005
244.0,244,41.964176
405.0,405,42.40745
357.0,357,42.833791
367.0,367,43.238905
237.0,237,43.550114
500.0,500,46.807108
401.0,401,47.247981
321.0,321,47.600855
500.0,500,48.151388
462.0,462,51.259473
500.0,500,51.804495
500.0,500,52.33554
500.0,500,52.919926
500.0,500,53.470309
500.0,500,56.530615
500.0,500,57.048172
500.0,500,57.592542
456.0,456,58.108079
500.0,500,61.18744
500.0,500,61.736368
500.0,500,62.275846
500.0,500,62.733713
500.0,500,65.588214
500.0,500,66.089473
500.0,500,66.674084
500.0,500,67.140224
500.0,500,70.43663
500.0,500,70.951286
500.0,500,71.872053
500.0,500,72.441224
500.0,500,75.907498
500.0,500,76.543317
500.0,500,77.111574
448.0,448,77.642901
500.0,500,80.401371
500.0,500,80.811766
500.0,500,81.323667
500.0,500,81.896481
500.0,500,84.642304
500.0,500,85.129885
500.0,500,85.619889
500.0,500,86.12513
500.0,500,88.994679
500.0,500,89.536184
500.0,500,90.06558
500.0,500,90.598695
500.0,500,94.674167
500.0,500,95.438906
500.0,500,95.806144
500.0,500,96.084202
500.0,500,96.298793
500.0,500,97.667544
500.0,500,97.905721
500.0,500,98.121095
314.0,314,98.252166
500.0,500,99.545573
500.0,500,99.784737
500.0,500,100.001911
500.0,500,100.229282
500.0,500,101.58916
500.0,500,101.807095
500.0,500,102.131593
500.0,500,102.341464
500.0,500,103.82905
500.0,500,104.086263
500.0,500,104.336717
500.0,500,104.553395
500.0,500,105.82963
500.0,500,106.044943
500.0,500,106.254249
500.0,500,106.473727
500.0,500,107.751574
500.0,500,108.005769
500.0,500,108.238319
500.0,500,108.479927
500.0,500,108.707884
500.0,500,110.02177
500.0,500,110.231247
500.0,500,110.447316
500.0,500,110.664002
500.0,500,111.922347
500.0,500,112.143319
500.0,500,112.351098
500.0,500,112.563606
500.0,500,113.868571
500.0,500,114.106065
500.0,500,114.341602
500.0,500,114.578787
500.0,500,115.870578
500.0,500,116.087923
500.0,500,116.296681
500.0,500,116.511671
500.0,500,117.815997
500.0,500,118.030086
500.0,500,118.240084
500.0,500,118.456971
500.0,500,119.698945
500.0,500,119.921957
500.0,500,120.131901
500.0,500,120.33986
500.0,500,121.585511
500.0,500,121.794396
500.0,500,122.006456
500.0,500,122.214419
500.0,500,123.456306
500.0,500,123.665996
500.0,500,123.873681
500.0,500,124.08711
500.0,500,125.321524
500.0,500,125.55444
500.0,500,125.775928
500.0,500,125.995273
500.0,500,127.237396
500.0,500,127.453457
500.0,500,127.662873
500.0,500,127.874155
500.0,500,129.11609
500.0,500,129.325104
500.0,500,129.541003
500.0,500,129.751054
500.0,500,129.966266
500.0,500,131.243499
500.0,500,131.456795
500.0,500,131.6657
500.0,500,131.874807
500.0,500,133.131444
500.0,500,133.338983
500.0,500,133.556651
500.0,500,133.766296
500.0,500,135.012013
500.0,500,135.219923
500.0,500,135.436615
500.0,500,135.657327
500.0,500,136.973542
500.0,500,137.184318
500.0,500,137.392937
500.0,500,137.609722
500.0,500,138.862146
500.0,500,139.079528
500.0,500,139.288232
500.0,500,139.506146
500.0,500,140.748952
500.0,500,140.961855
500.0,500,141.173439
500.0,500,141.380726
500.0,500,142.630383
500.0,500,142.843466
500.0,500,143.059646
500.0,500,143.267665
500.0,500,144.51579
500.0,500,144.727978
500.0,500,144.94588
500.0,500,145.154863
500.0,500,146.420156
500.0,500,146.631813
500.0,500,146.853089
500.0,500,147.071324
500.0,500,148.311266
500.0,500,148.526783
500.0,500,148.734545
500.0,500,148.952887
500.0,500,149.162665
500.0,500,150.404214
500.0,500,150.618322
500.0,500,150.827259
500.0,500,151.043481
500.0,500,152.298285
500.0,500,152.512518
500.0,500,152.726872
500.0,500,152.940095
500.0,500,154.177568
500.0,500,154.385271
500.0,500,154.602111
500.0,500,154.81043
