#{"t_start": 1622654718.476987, "env_id": "CartPole-v1"}
r,l,t
500.0,500,516.85736
500.0,500,517.071542
500.0,500,518.315856
500.0,500,518.530785
500.0,500,518.741485
500.0,500,518.958363
500.0,500,520.283481
500.0,500,520.498816
500.0,500,520.712613
500.0,500,520.926244
500.0,500,522.31358
500.0,500,522.529813
500.0,500,522.807063
500.0,500,523.022369
500.0,500,524.265853
500.0,500,524.481062
500.0,500,524.691933
500.0,500,524.902598
500.0,500,526.16384
500.0,500,526.375203
500.0,500,526.593022
500.0,500,526.806088
500.0,500,528.056086
500.0,500,528.264192
500.0,500,528.47697
500.0,500,528.688186
500.0,500,529.937458
500.0,500,530.14725
500.0,500,530.354934
500.0,500,530.572309
500.0,500,530.787442
500.0,500,532.033353
500.0,500,532.242176
500.0,500,532.455397
500.0,500,532.66891
500.0,500,533.92438
500.0,500,534.13382
500.0,500,534.341408
500.0,500,534.557789
500.0,500,535.849072
500.0,500,536.062771
500.0,500,536.270445
500.0,500,536.48549
500.0,500,537.724746
500.0,500,537.938136
500.0,500,538.148018
500.0,500,538.355167
500.0,500,539.604722
500.0,500,539.819328
500.0,500,540.03676
500.0,500,540.244986
500.0,500,541.49032
500.0,500,541.701375
500.0,500,541.912512
500.0,500,542.125582
500.0,500,543.363787
500.0,500,543.580692
500.0,500,543.790243
500.0,500,544.004845
500.0,500,545.244125
500.0,500,545.458961
500.0,500,545.681683
500.0,500,545.895833
500.0,500,547.225896
500.0,500,547.441928
500.0,500,547.653849
500.0,500,547.863433
500.0,500,549.113289
500.0,500,549.322026
500.0,500,549.54201
500.0,500,549.751806
500.0,500,549.967971
500.0,500,551.22951
500.0,500,551.445628
500.0,500,551.656447
500.0,500,551.865602
500.0,500,553.110256
500.0,500,553.317888
500.0,500,553.533207
500.0,500,553.741374
500.0,500,555.004862
500.0,500,555.213504
500.0,500,555.428085
500.0,500,555.636865
500.0,500,556.879621
500.0,500,557.094142
500.0,500,557.301803
500.0,500,557.517775
500.0,500,558.758495
500.0,500,558.972326
500.0,500,559.182264
500.0,500,559.390308
500.0,500,560.639449
500.0,500,560.850338
500.0,500,561.065856
500.0,500,561.276596
500.0,500,562.518529
500.0,500,562.729
500.0,500,562.947029
500.0,500,563.156894
500.0,500,564.406092
500.0,500,564.622479
500.0,500,564.835067
500.0,500,565.049602
500.0,500,566.314175
500.0,500,566.529498
500.0,500,566.741093
500.0,500,566.953616
500.0,500,568.191916
500.0,500,568.398973
500.0,500,568.6135
500.0,500,568.824434
500.0,500,570.074394
500.0,500,570.284785
500.0,500,570.497836
500.0,500,570.707761
500.0,500,570.919247
500.0,500,572.166748
500.0,500,572.373939
500.0,500,572.587951
500.0,500,572.864327
500.0,500,574.101539
500.0,500,574.309508
500.0,500,574.522703
500.0,500,574.734171
500.0,500,575.988064
500.0,500,576.199063
500.0,500,576.41226
500.0,500,576.621295
500.0,500,577.859764
500.0,500,578.074221
500.0,500,578.282442
500.0,500,578.497161
500.0,500,579.790872
500.0,500,580.004693
500.0,500,580.214205
500.0,500,580.431224
500.0,500,581.725024
500.0,500,581.941902
500.0,500,582.152575
500.0,500,582.361347
500.0,500,583.612408
500.0,500,583.830743
500.0,500,584.049077
500.0,500,584.258112
500.0,500,585.512564
500.0,500,585.731779
500.0,500,585.948118
500.0,500,586.157692
500.0,500,587.405798
500.0,500,587.616963
500.0,500,587.827589
500.0,500,588.044338
500.0,500,589.282446
500.0,500,589.495548
500.0,500,589.710261
500.0,500,589.925736
500.0,500,590.134747
500.0,500,591.379768
500.0,500,591.596318
500.0,500,591.805498
500.0,500,592.01832
500.0,500,593.266224
500.0,500,593.48073
500.0,500,593.690111
500.0,500,593.898539
500.0,500,595.143068
500.0,500,595.352232
500.0,500,595.576883
500.0,500,595.797348
500.0,500,597.043447
500.0,500,597.258021
500.0,500,597.473844
500.0,500,597.684018
500.0,500,598.927243
500.0,500,599.137627
500.0,500,599.346674
500.0,500,599.564372
500.0,500,600.92786
500.0,500,601.135974
500.0,500,601.344043
500.0,500,601.561692
500.0,500,602.804541
500.0,500,603.021398
500.0,500,603.230595
500.0,500,603.444246
500.0,500,604.690802
500.0,500,604.903058
500.0,500,605.118703
500.0,500,605.327376
500.0,500,606.589689
500.0,500,606.801006
500.0,500,607.014343
500.0,500,607.222079
500.0,500,608.570685
500.0,500,608.851348
500.0,500,609.067304
500.0,500,609.275263
500.0,500,610.536482
500.0,500,610.744803
500.0,500,610.962631
500.0,500,611.197051
500.0,500,611.408617
500.0,500,612.663729
500.0,500,612.874464
500.0,500,613.089246
500.0,500,613.296985
500.0,500,614.53273
500.0,500,614.756254
500.0,500,614.977568
500.0,500,615.188153
500.0,500,616.434801
500.0,500,616.64537
500.0,500,616.854165
500.0,500,617.071014
500.0,500,618.306046
500.0,500,618.521389
500.0,500,618.732762
500.0,500,618.94926
500.0,500,620.185629
500.0,500,620.393023
500.0,500,620.607516
500.0,500,620.817557
500.0,500,622.068184
500.0,500,622.276116
500.0,500,622.494036
500.0,500,622.706592
500.0,500,623.956489
500.0,500,624.268221
500.0,500,624.499123
500.0,500,624.748669
500.0,500,626.001302
500.0,500,626.213248
500.0,500,626.428647
500.0,500,626.639377
500.0,500,627.879494
500.0,500,628.097158
500.0,500,628.306002
500.0,500,628.519998
500.0,500,629.799456
500.0,500,630.012358
500.0,500,630.226291
500.0,500,630.439923
500.0,500,630.64848
500.0,500,631.897112
500.0,500,632.11681
500.0,500,632.32724
500.0,500,632.541062
500.0,500,633.784767
500.0,500,634.00236
500.0,500,634.216551
500.0,500,634.432176
500.0,500,635.692953
500.0,500,635.907127
500.0,500,636.121408
500.0,500,636.330646
500.0,500,637.577521
500.0,500,637.79205
500.0,500,638.007138
500.0,500,638.215839
500.0,500,639.458747
500.0,500,639.684658
500.0,500,639.894154
500.0,500,640.107708
500.0,500,641.397216
500.0,500,641.631514
500.0,500,641.843167
500.0,500,642.089124
500.0,500,643.338553
500.0,500,643.554959
500.0,500,643.764433
500.0,500,643.979217
500.0,500,645.234712
500.0,500,645.452909
500.0,500,645.674291
500.0,500,645.88519
500.0,500,647.132934
500.0,500,647.340946
500.0,500,647.555323
500.0,500,647.830879
500.0,500,649.070192
500.0,500,649.276955
500.0,500,649.489307
500.0,500,649.699227
500.0,500,649.91344
500.0,500,651.164451
500.0,500,651.375614
500.0,500,651.592693
500.0,500,651.805294
500.0,500,653.051713
500.0,500,653.260345
500.0,500,653.473569
500.0,500,653.684075
500.0,500,654.937526
500.0,500,655.148601
500.0,500,655.357887
500.0,500,655.585385
500.0,500,656.836771
500.0,500,657.055351
500.0,500,657.265231
500.0,500,657.480884
500.0,500,658.724729
500.0,500,658.938156
500.0,500,659.147742
500.0,500,659.355628
500.0,500,660.60296
500.0,500,660.813489
500.0,500,661.030675
500.0,500,661.240197
500.0,500,662.478616
500.0,500,662.688991
500.0,500,662.898304
500.0,500,663.112808
500.0,500,664.352958
500.0,500,664.567635
500.0,500,664.779913
500.0,500,664.994852
500.0,500,666.248336
500.0,500,666.461448
500.0,500,666.673537
500.0,500,666.883022
500.0,500,668.13162
500.0,500,668.33914
500.0,500,668.555065
500.0,500,668.763844
500.0,500,670.009544
500.0,500,670.217488
500.0,500,670.432259
500.0,500,670.640539
500.0,500,670.850112
500.0,500,672.131922
500.0,500,672.346169
500.0,500,672.560479
500.0,500,672.775531
500.0,500,674.009756
500.0,500,674.2184
500.0,500,674.433517
500.0,500,674.64598
500.0,500,675.909231
500.0,500,676.121546
500.0,500,676.329277
500.0,500,676.548718
500.0,500,677.787866
500.0,500,678.00298
500.0,500,678.212075
500.0,500,678.42375
500.0,500,679.662307
500.0,500,679.872401
500.0,500,680.089298
500.0,500,680.297119
500.0,500,681.54716
500.0,500,681.756563
500.0,500,681.972137
500.0,500,682.181518
500.0,500,683.428931
500.0,500,683.638168
500.0,500,683.84731
500.0,500,684.069373
500.0,500,685.317502
500.0,500,685.544442
500.0,500,685.759966
500.0,500,685.976515
500.0,500,687.21791
500.0,500,687.43014
500.0,500,687.638259
500.0,500,687.847903
500.0,500,689.099351
500.0,500,689.307008
500.0,500,689.520072
500.0,500,689.729391
500.0,500,689.94489
500.0,500,691.185064
500.0,500,691.396639
500.0,500,691.614744
500.0,500,691.824102
500.0,500,693.07771
500.0,500,693.291611
500.0,500,693.508629
500.0,500,693.718677
500.0,500,694.970252
500.0,500,695.180124
500.0,500,695.390744
500.0,500,695.623489
500.0,500,696.869238
500.0,500,697.082464
500.0,500,697.290242
500.0,500,697.510451
500.0,500,698.756142
500.0,500,698.970373
500.0,500,699.243976
500.0,500,699.540715
500.0,500,700.799589
500.0,500,701.018432
500.0,500,701.235503
500.0,500,701.449089
500.0,500,702.705916
500.0,500,702.922451
500.0,500,703.130974
500.0,500,703.339932
500.0,500,704.600836
500.0,500,704.810878
500.0,500,705.025637
500.0,500,705.23483
500.0,500,706.49318
500.0,500,706.703809
500.0,500,706.913752
500.0,500,707.124826
500.0,500,708.363685
500.0,500,708.577795
500.0,500,708.786789
500.0,500,708.999988
500.0,500,710.24137
500.0,500,710.45753
500.0,500,710.666643
500.0,500,710.9437
500.0,500,711.153226
500.0,500,712.410706
500.0,500,712.621034
500.0,500,712.833872
500.0,500,713.048741
500.0,500,714.29062
500.0,500,714.510839
500.0,500,714.724199
500.0,500,714.943026
500.0,500,716.205093
500.0,500,716.423982
500.0,500,716.632594
500.0,500,716.84193
500.0,500,718.09315
500.0,500,718.301537
500.0,500,718.514788
500.0,500,718.723724
500.0,500,719.96307
500.0,500,720.17191
500.0,500,720.380245
500.0,500,720.592341
500.0,500,721.842112
500.0,500,722.058796
500.0,500,722.267613
500.0,500,722.48346
500.0,500,723.725095
500.0,500,723.93966
500.0,500,724.150385
500.0,500,724.357992
500.0,500,725.613094
500.0,500,725.825395
500.0,500,726.040665
500.0,500,726.247392
500.0,500,727.52443
500.0,500,727.734332
500.0,500,727.947377
500.0,500,728.15699
500.0,500,729.397777
500.0,500,729.614038
500.0,500,729.823277
500.0,500,730.037502
500.0,500,730.245776
500.0,500,731.53228
500.0,500,731.742556
500.0,500,731.957919
500.0,500,732.169876
500.0,500,733.413803
500.0,500,733.625472
500.0,500,733.844481
500.0,500,734.0705
500.0,500,735.316213
500.0,500,735.543738
500.0,500,735.755018
500.0,500,735.973473
500.0,500,737.206862
500.0,500,737.422026
500.0,500,737.631777
500.0,500,737.842074
500.0,500,739.090661
500.0,500,739.297855
500.0,500,739.513804
500.0,500,739.722714
500.0,500,740.968461
500.0,500,741.179256
500.0,500,741.387034
500.0,500,741.603899
500.0,500,742.845848
500.0,500,743.063628
500.0,500,743.272348
500.0,500,743.485277
500.0,500,744.738614
500.0,500,744.958378
500.0,500,745.169346
500.0,500,745.38297
500.0,500,746.661734
500.0,500,746.870059
500.0,500,747.087716
500.0,500,747.295629
500.0,500,748.549618
500.0,500,748.757984
500.0,500,748.969867
500.0,500,749.180595
500.0,500,750.428633
500.0,500,750.637995
500.0,500,750.84722
500.0,500,751.064607
500.0,500,751.272548
500.0,500,752.516696
500.0,500,752.72411
500.0,500,752.942775
500.0,500,753.153004
500.0,500,754.392631
500.0,500,754.607734
500.0,500,754.816682
500.0,500,755.034448
500.0,500,756.290563
500.0,500,756.504753
500.0,500,756.715372
500.0,500,756.931794
500.0,500,758.169198
500.0,500,758.378859
500.0,500,758.59301
500.0,500,758.801487
500.0,500,760.115035
500.0,500,760.322785
500.0,500,760.537714
500.0,500,760.746246
500.0,500,762.027106
500.0,500,762.237083
500.0,500,762.449516
500.0,500,762.658914
500.0,500,763.903118
500.0,500,764.11844
500.0,500,764.325751
500.0,500,764.538632
500.0,500,765.797399
500.0,500,766.010826
500.0,500,766.218667
500.0,500,766.435166
500.0,500,767.674514
500.0,500,767.883373
500.0,500,768.100192
500.0,500,768.309166
500.0,500,769.567821
500.0,500,769.775975
500.0,500,769.990945
500.0,500,770.20188
500.0,500,770.414108
500.0,500,771.663608
500.0,500,771.874588
500.0,500,772.095488
500.0,500,772.303866
500.0,500,773.602366
500.0,500,773.811564
500.0,500,774.025759
500.0,500,774.238135
500.0,500,775.501459
500.0,500,775.721531
500.0,500,775.937937
500.0,500,776.148406
500.0,500,777.396894
500.0,500,777.622369
500.0,500,777.852032
500.0,500,778.069091
500.0,500,779.339709
500.0,500,779.55892
500.0,500,779.77139
500.0,500,779.987301
500.0,500,781.258092
500.0,500,781.556564
500.0,500,781.781653
500.0,500,781.999077
500.0,500,783.268483
500.0,500,783.481336
500.0,500,783.690862
500.0,500,783.905683
500.0,500,785.16866
500.0,500,785.377264
500.0,500,785.605103
500.0,500,785.817971
500.0,500,787.069281
500.0,500,787.279302
500.0,500,787.492797
500.0,500,787.703974
500.0,500,788.94572
500.0,500,789.154695
500.0,500,789.366358
500.0,500,789.588459
500.0,500,789.796763
500.0,500,791.064013
500.0,500,791.284157
500.0,500,791.498948
500.0,500,791.709809
500.0,500,792.95252
500.0,500,793.161315
500.0,500,793.370303
500.0,500,793.586723
500.0,500,794.834872
500.0,500,795.051174
500.0,500,795.260584
500.0,500,795.482568
500.0,500,796.75811
500.0,500,796.971212
500.0,500,797.180208
500.0,500,797.390043
500.0,500,798.63809
500.0,500,798.847392
500.0,500,799.061429
500.0,500,799.270353
500.0,500,800.514132
500.0,500,800.723203
500.0,500,800.936453
500.0,500,801.146881
500.0,500,802.391869
500.0,500,802.606906
500.0,500,802.816916
500.0,500,803.029433
500.0,500,804.27229
500.0,500,804.485155
500.0,500,804.699826
500.0,500,804.91669
500.0,500,806.175236
500.0,500,806.384059
500.0,500,806.598237
500.0,500,806.806531
500.0,500,808.053337
500.0,500,808.262231
500.0,500,808.477797
500.0,500,808.687347
500.0,500,809.926268
500.0,500,810.135704
500.0,500,810.344515
500.0,500,810.558811
500.0,500,810.767851
500.0,500,812.021603
500.0,500,812.229791
500.0,500,812.443158
500.0,500,812.651669
500.0,500,813.898472
500.0,500,814.113057
500.0,500,814.322901
500.0,500,814.537403
500.0,500,815.798271
500.0,500,816.01688
500.0,500,816.22975
500.0,500,816.444499
500.0,500,817.68662
500.0,500,817.900317
500.0,500,818.111958
500.0,500,818.321481
500.0,500,819.728916
500.0,500,819.947503
500.0,500,820.157056
500.0,500,820.365961
500.0,500,821.654466
500.0,500,821.862515
500.0,500,822.078356
500.0,500,822.286133
500.0,500,823.532908
500.0,500,823.741287
500.0,500,823.954283
500.0,500,824.162454
500.0,500,825.410389
500.0,500,825.632409
500.0,500,825.850308
500.0,500,826.072557
500.0,500,827.399494
500.0,500,827.615454
500.0,500,827.851261
500.0,500,828.115336
500.0,500,829.355095
500.0,500,829.57336
500.0,500,829.781801
500.0,500,829.996965
500.0,500,830.205798
500.0,500,831.45459
500.0,500,831.665925
500.0,500,831.875314
500.0,500,832.089359
500.0,500,833.334759
500.0,500,833.54958
500.0,500,833.758746
500.0,500,833.975186
500.0,500,835.221059
500.0,500,835.439043
500.0,500,835.660427
500.0,500,835.877026
500.0,500,837.134841
500.0,500,837.343698
500.0,500,837.562708
500.0,500,837.771675
500.0,500,839.014695
500.0,500,839.224888
500.0,500,839.44183
500.0,500,839.652485
500.0,500,840.886063
500.0,500,841.099584
500.0,500,841.308094
500.0,500,841.530132
500.0,500,842.771015
500.0,500,842.98805
500.0,500,843.196579
500.0,500,843.40899
500.0,500,844.650245
500.0,500,844.858729
500.0,500,845.072185
500.0,500,845.279834
500.0,500,846.556543
500.0,500,846.766035
500.0,500,846.978698
500.0,500,847.189076
500.0,500,848.432542
500.0,500,848.642116
500.0,500,848.850302
500.0,500,849.064289
500.0,500,850.294701
500.0,500,850.510051
500.0,500,850.720256
500.0,500,850.931894
500.0,500,851.150321
500.0,500,852.39263
500.0,500,852.61003
500.0,500,852.820307
500.0,500,853.03564
500.0,500,854.277033
500.0,500,854.492074
500.0,500,854.711549
500.0,500,854.937207
500.0,500,856.17893
500.0,500,856.387575
500.0,500,856.607403
500.0,500,856.816204
500.0,500,858.062256
500.0,500,858.27073
500.0,500,858.484448
500.0,500,858.695177
500.0,500,859.932911
500.0,500,860.141519
500.0,500,860.350132
500.0,500,860.564428
500.0,500,861.806445
500.0,500,862.02035
500.0,500,862.229275
500.0,500,862.444474
500.0,500,863.682354
500.0,500,863.891554
500.0,500,864.108538
500.0,500,864.316142
500.0,500,865.580728
500.0,500,865.795449
500.0,500,866.00954
500.0,500,866.218165
500.0,500,867.470235
500.0,500,867.680561
500.0,500,867.889109
500.0,500,868.102835
500.0,500,869.343836
500.0,500,869.558632
500.0,500,869.766788
500.0,500,869.979728
500.0,500,870.188014
500.0,500,871.433913
500.0,500,871.646605
500.0,500,871.856356
500.0,500,872.072077
500.0,500,873.314118
500.0,500,873.52915
500.0,500,873.738036
500.0,500,873.950651
500.0,500,875.188322
500.0,500,875.397516
500.0,500,875.622057
500.0,500,875.840495
500.0,500,877.087952
500.0,500,877.296923
500.0,500,877.513553
500.0,500,877.725516
500.0,500,878.965102
500.0,500,879.174644
500.0,500,879.386587
500.0,500,879.709283
500.0,500,880.965214
500.0,500,881.189954
500.0,500,881.403041
500.0,500,881.63222
500.0,500,882.876052
500.0,500,883.09047
500.0,500,883.299268
500.0,500,883.517605
500.0,500,884.765626
500.0,500,884.979627
500.0,500,885.188793
500.0,500,885.400842
500.0,500,886.671916
500.0,500,886.879973
500.0,500,887.09588
500.0,500,887.304582
500.0,500,888.555667
500.0,500,888.76474
500.0,500,888.979115
500.0,500,889.187652
500.0,500,889.397833
500.0,500,890.646784
500.0,500,890.85892
500.0,500,891.075676
500.0,500,891.284561
500.0,500,892.526045
500.0,500,892.735317
500.0,500,892.951477
500.0,500,893.158857
500.0,500,894.414605
500.0,500,894.628008
500.0,500,894.838364
500.0,500,895.051473
500.0,500,896.311939
500.0,500,896.526906
500.0,500,896.737196
500.0,500,896.952529
500.0,500,898.200458
500.0,500,898.416331
500.0,500,898.625925
500.0,500,898.834043
500.0,500,900.078806
500.0,500,900.285983
500.0,500,900.498856
500.0,500,900.708588
500.0,500,901.949865
500.0,500,902.158737
500.0,500,902.366782
500.0,500,902.579895
500.0,500,903.820698
500.0,500,904.034428
500.0,500,904.243977
500.0,500,904.459754
500.0,500,905.739484
500.0,500,905.958752
500.0,500,906.179896
500.0,500,906.38863
500.0,500,907.720463
500.0,500,907.933578
500.0,500,908.141123
500.0,500,908.353555
500.0,500,909.608189
500.0,500,909.818156
500.0,500,910.032301
500.0,500,910.242103
500.0,500,910.471685
500.0,500,912.020632
500.0,500,912.290613
500.0,500,912.569803
500.0,500,912.834718
500.0,500,914.077487
500.0,500,914.285966
500.0,500,914.501987
500.0,500,914.713237
500.0,500,915.980974
500.0,500,916.195851
500.0,500,916.410627
500.0,500,916.622947
500.0,500,917.874726
500.0,500,918.090789
500.0,500,918.299533
500.0,500,918.512384
500.0,500,919.758624
500.0,500,919.977943
500.0,500,920.186663
500.0,500,920.396437
500.0,500,921.650032
500.0,500,921.859953
500.0,500,922.073366
500.0,500,922.282608
500.0,500,923.530372
500.0,500,923.739372
500.0,500,923.954519
500.0,500,924.174636
500.0,500,925.448416
500.0,500,925.661941
500.0,500,925.874315
500.0,500,926.091118
500.0,500,927.335629
500.0,500,927.551293
500.0,500,927.760359
500.0,500,927.972634
500.0,500,929.210693
500.0,500,929.424436
500.0,500,929.63436
500.0,500,929.844976
500.0,500,930.061936
500.0,500,931.308306
500.0,500,931.528185
500.0,500,931.738133
500.0,500,931.953379
500.0,500,933.194411
500.0,500,933.410409
500.0,500,933.619504
500.0,500,933.829936
500.0,500,935.086242
500.0,500,935.295447
500.0,500,935.520208
500.0,500,935.740798
500.0,500,936.987474
500.0,500,937.196244
500.0,500,937.404588
500.0,500,937.614939
500.0,500,938.859535
500.0,500,939.077516
500.0,500,939.286777
500.0,500,939.592403
500.0,500,940.847451
500.0,500,941.080199
500.0,500,941.296608
500.0,500,941.513846
500.0,500,942.768548
500.0,500,942.984319
500.0,500,943.193409
500.0,500,943.403742
500.0,500,944.652746
500.0,500,944.864889
500.0,500,945.080092
500.0,500,945.289058
500.0,500,946.54958
500.0,500,946.759666
500.0,500,946.97568
500.0,500,947.18412
500.0,500,948.425058
500.0,500,948.634374
500.0,500,948.842548
500.0,500,949.057595
500.0,500,950.299462
500.0,500,950.518291
500.0,500,950.736468
500.0,500,950.950324
500.0,500,951.159331
500.0,500,952.407548
500.0,500,952.619868
500.0,500,952.833269
500.0,500,953.092245
500.0,500,954.333471
500.0,500,954.554307
500.0,500,954.765117
500.0,500,954.979904
500.0,500,956.237179
500.0,500,956.449919
500.0,500,956.659684
500.0,500,956.86765
500.0,500,958.127731
500.0,500,958.337306
500.0,500,958.553238
500.0,500,958.762826
500.0,500,960.010576
500.0,500,960.221428
500.0,500,960.434007
500.0,500,960.64464
500.0,500,961.887184
500.0,500,962.102746
500.0,500,962.311492
500.0,500,962.527795
500.0,500,963.767961
500.0,500,963.981911
500.0,500,964.192798
500.0,500,964.404229
500.0,500,965.66463
500.0,500,965.880343
500.0,500,966.096376
500.0,500,966.307198
500.0,500,967.555824
500.0,500,967.814682
500.0,500,968.054069
500.0,500,968.263952
500.0,500,969.512696
500.0,500,969.723469
500.0,500,969.940126
500.0,500,970.150187
500.0,500,970.358149
500.0,500,971.611531
500.0,500,971.820748
500.0,500,972.035766
500.0,500,972.246035
500.0,500,973.489084
500.0,500,973.699773
500.0,500,973.911736
500.0,500,974.126628
500.0,500,975.36185
500.0,500,975.590859
500.0,500,975.804868
500.0,500,976.02045
500.0,500,977.261664
500.0,500,977.475804
500.0,500,977.685879
500.0,500,977.895474
500.0,500,979.139867
500.0,500,979.348758
500.0,500,979.563635
500.0,500,979.772802
500.0,500,981.013975
500.0,500,981.223253
500.0,500,981.438867
500.0,500,981.649129
500.0,500,982.885035
500.0,500,983.101597
500.0,500,983.310557
500.0,500,983.52795
500.0,500,984.836091
500.0,500,985.053444
500.0,500,985.265507
500.0,500,985.488763
500.0,500,986.742919
500.0,500,986.956627
500.0,500,987.166503
500.0,500,987.375196
500.0,500,988.62581
500.0,500,988.834805
500.0,500,989.049771
500.0,500,989.258915
500.0,500,990.502949
500.0,500,990.712791
500.0,500,990.925641
500.0,500,991.135262
500.0,500,991.345468
500.0,500,992.592682
500.0,500,992.802057
500.0,500,993.019054
500.0,500,993.228151
500.0,500,994.467893
500.0,500,994.677956
500.0,500,994.886964
500.0,500,995.101723
500.0,500,996.359362
500.0,500,996.575427
500.0,500,996.783799
500.0,500,997.001588
